Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,,,,
ID,Backlog Priority,Release Version,Work Item Type,Title,Effort,State,Tags,Iteration Path,Area Path,Severity,Created Date,Closed Date
9474,626,3.0.0,Product Backlog Item,(3.0.0) [EPIC] API PHASE 1 - Database Review,2,Done,Analyzed,\3.0.0\3.0 Alpha\Sprint 67,\Activities,,07/07/2014 2:18 PM,11/08/2015 11:14 AM
7863,651,3.0.0,Product Backlog Item,(3.0.0) API PHASE 1 - EDG.IO Ability to execute custom SQL,5,Done,Analyzed,\3.0.0\3.0 Alpha\Sprint 67,\Activities,,28/05/2014 2:27 PM,11/08/2015 11:14 AM
24048,689,3.0.0,Product Backlog Item,3E Test Case Review for EDG Execution Purposes,3,Done,Capitalize; PM Feedback,\3.0.0\3.0 Alpha\Sprint 78,\Activities\Dev,,30/03/2015 2:38 PM,13/04/2015 10:45 AM
23663,769,3.0.0,Bug,DEFECT: (3.0.0)  ApplyStylesheet only defaults to .xsl or .xslt,0.5,Done,,\3.0.0\3.0 Alpha\Sprint 77,\Activities,3 - Medium,20/03/2015 2:56 PM,25/03/2015 2:15 PM
23644,797,3.0.0,Product Backlog Item,(3.0.0) ACTIVITY: ApplyStylesheet needs Template support,3,Done,Capitalize,\3.0.0\3.0 Alpha\Sprint 77,\Activities,,20/03/2015 8:47 AM,01/04/2015 9:59 AM
25167,798,3.0.0,Product Backlog Item,(3.0.0) DEV:SOLUTION MANAGER\SolutionManager.Test - MainWindowTest,2,Done,Analyzed; Capitalize,\3.0.0\3.0 Alpha\Sprint 80,\Activities\Dev,,16/04/2015 4:11 PM,12/05/2015 9:22 AM
23620,854,3.0.0,Bug,(3.0.0) Workflow Activities: ConvertDocument: PDF Permissions not being set,3,Done,,\3.0.0\3.0 Alpha\Sprint 77,\Activities,3 - Medium,19/03/2015 1:54 PM,30/03/2015 11:39 AM
23496,883,2.6,Product Backlog Item,* 3E Attachment Plugin - Smoke Test,1,Done,,\3.0.0\3.0 Alpha\Sprint 77,\Defects,,19/03/2015 10:30 AM,13/10/2015 3:44 PM
32915,903,2.6,Bug,4 - (LATEST) RES Service - Service exits on SqlException,3,Done,Analyzed,\3.0.0\3.0 TPR\Sprint 91,\Defects\2.X,2 - High,18/09/2015 12:38 PM,07/10/2015 7:46 AM
30629,910,3.0.0,Product Backlog Item,"* (3.0.0) WORKFLOW ENGINE: Install latest build - August 17, 2015",2,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 87,\Activities,,30/07/2015 2:28 PM,19/08/2015 9:11 PM
40301,1013,2.6,Product Backlog Item,SPIKE: Candida Std font will render when using print service,3,Done,,\3.0.0\3.0 Beta\Sprint 99,\Activities,,28/01/2016 10:00 AM,01/02/2016 10:16 AM
27734,1017,3.0.0,Product Backlog Item,(DEV) Refactor and merge EDG.IO into EDG.API,3,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 83,\Activities\Dev,,01/06/2015 8:41 AM,22/06/2015 9:22 AM
24231,1031,3.0.0,Product Backlog Item,(3.0.0) SOLUTION MANAGER\TREEVIEW DISPLAY: Selecting from child elements shouldn't be independent of parents,3,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 84,\Activities,,01/04/2015 4:18 PM,09/07/2015 8:37 AM
30516,1040,3.0.0,Product Backlog Item,(3.0.0) EDG.Activities.Email.Design: [SPIKE] Connection Editor doesn't take variables,8,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 88,\Activities,,29/07/2015 12:59 PM,28/08/2015 2:08 PM
28886,1155,3.0.0,Product Backlog Item,Deliver Integration Build to 3E - Sprint 84,3,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 84,\Activities,,24/06/2015 2:05 PM,07/07/2015 8:23 AM
27480,1236,3.0.0,Product Backlog Item,DEV: Identify training topics and/or courses,1,Done,,\3.0.0\3.0 Alpha\Sprint 82 (ALPHA as deliverable),\Activities\Dev,,28/05/2015 9:28 AM,09/06/2015 8:50 AM
27443,1236,3.0.0,Product Backlog Item,(DEV): Investigate how to open a file without Process.Start (or making it secure),2,Done,Capitalize,\3.0.0\3.0 Alpha\Sprint 82 (ALPHA as deliverable),\Activities\Dev,,27/05/2015 2:29 PM,01/06/2015 8:56 AM
29485,1290,2.6,Bug,"#2-(2.6.1.2) SERVER/SOLUTION MANAGER: If in the MatchList.xml file you provide e.g russian or german folder name, so later in Temp folder of OS Windows these values will displayed by symbols",5,Done,,\3.0.0\3.0 TPR\Sprint 85,\Defects,2 - High,08/07/2015 11:06 AM,21/07/2015 10:43 AM
16873,1298,2.6,Bug,(RES 2.0.1) DEFECT: RES - Remote job service can cause fatal errors on logging,1,Done,Triaged,\3.0.0\3.0 Alpha\Sprint 72,\Defects,2 - High,13/11/2014 3:48 PM,13/01/2015 3:08 PM
27439,1320,3.0.0,Bug,(3.0.0) Solution Manager: Getting Error message with Preview,1,Done,,\3.0.0\3.0 Alpha\Sprint 82 (ALPHA as deliverable),\Defects,2 - High,27/05/2015 2:10 PM,01/06/2015 9:14 AM
27441,1334,3.0.0,Bug,(3.0.0) Options Window: Renaming workspace doesnt wrap,2,Done,,\3.0.0\3.0 Alpha\Sprint 82 (ALPHA as deliverable),\Defects,4 - Low,27/05/2015 2:16 PM,01/06/2015 9:15 AM
16872,1334,2.6,Bug,(RES 2.0.1) DEFECT: RES - Remote job service does not cleanup threads on stop,2,Done,Triaged,\3.0.0\3.0 Alpha\Sprint 72,\Defects,2 - High,13/11/2014 3:45 PM,13/01/2015 3:09 PM
26486,1343,2.6,Bug,DEFECT: Worksite Plugin - temp files are not deleted,2,Done,,\3.0.0\3.0 Alpha\Sprint 81,\Defects,2 - High,11/05/2015 11:35 AM,20/05/2015 9:13 AM
24775,1343,2.6,Bug,?Issues with new EDG Print Service under QA Test,5,Done,,\3.0.0\3.0 Alpha\Sprint 79,\Defects,1 - Critical,11/04/2015 5:21 PM,28/04/2015 1:53 PM
26492,1348,3.0.0,Bug,DEFECT: ACTIVITIES: LOADDOCUMENT: TypeInitializationExceptions on text files.,5,Done,,\3.0.0\3.0 Alpha\Sprint 82 (ALPHA as deliverable),\Defects,3 - Medium,11/05/2015 3:44 PM,02/06/2015 2:56 PM
19718,1371,2.6,Bug,(RES 2.0.1) DEFECT: RES - Does not log to file when exception occurs until service restart,2,Done,,\3.0.0\3.0 Alpha\Sprint 72,\Defects,2 - High,17/12/2014 9:19 AM,14/01/2015 3:27 PM
19717,1371,2.6,Bug,(RES 2.0.1) DEFECT: RES - DocumentRepository node needs to allow specifying the folder path with or without slash,1,Done,,\3.0.0\3.0 Alpha\Sprint 72,\Defects,2 - High,17/12/2014 8:58 AM,13/01/2015 3:07 PM
16573,1371,2.6,Bug,(RES 2.0.1) DEFECT: RES - Windows Service stops processing from the queue but service is still listed as running,3,Done,,\3.0.0\3.0 Alpha\Sprint 72,\Defects,2 - High,05/11/2014 12:56 PM,13/10/2015 3:50 PM
19722,1390,2.6,Bug,DEFECT -TTX Designer: Preview does not add the .xml extension,3,Done,,\3.0.0\3.0 Alpha\Sprint 72,\Defects,3 - Medium,17/12/2014 11:16 AM,21/01/2015 2:48 PM
27309,1417,3.0.0,Product Backlog Item,*(3.0.0) SM - Name and Rename entry fields present for mock up workflows,1,Done,Capitalize,\3.0.0\3.0 Alpha\Sprint 81,\Activities,,26/05/2015 12:01 PM,26/05/2015 2:40 PM
27824,1455,3.0.0,Product Backlog Item,DEV: Combine MockRepository classes into single Mocking Project that can be shared,5,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 88,\Activities\Dev,,02/06/2015 2:41 PM,01/09/2015 3:21 PM
33271,1602,3.0.0,Product Backlog Item,8 - (DEV) Migrate NuGet packages to new share folder,2,Done,,\3.0.0\3.0 TPR\Sprint 91,\Activities\Dev,,30/09/2015 11:20 AM,13/10/2015 3:47 PM
31420,1640,3.0.0,Product Backlog Item,"(3.0.0) ACTIVITIES: ConvertWordDocument: The setup of  ""track changes"" doesn't work",5,Done,Analyzed; Capitalize; PM-PriorityMed,\3.0.0\3.0 TPR\Sprint 91,\Activities,,19/08/2015 2:16 PM,08/10/2015 3:02 PM
28504,1650,3.0.0,Product Backlog Item,DEV: Mid Release  Veracode Scan,2,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 84,\Activities\Dev,,15/06/2015 1:35 PM,29/06/2015 12:47 PM
27265,1674,3.0.0,Product Backlog Item,DEV: Quality - Solution Manager - Identify areas to refactor in order to permit unit tests,2,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 85,\Activities\Dev,,25/05/2015 4:05 PM,22/07/2015 4:16 PM
29389,1677,3.0.0,Product Backlog Item,(3.0.0) SOLUTION MANAGER: Visual Conflict Indicator,8,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 85,\Activities,,03/07/2015 1:37 PM,17/07/2015 2:13 PM
30133,1820,3.0.0,Product Backlog Item,Integrate Visual Designer Ribbon bar,8,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 86,\Activities,,23/07/2015 9:08 AM,06/08/2015 9:33 AM
30018,1876,3.0.0,Bug,*Verify - (3.0.0)SOLUTION MANAGER:Drag and Drop not working - shows RED BOX on Drop,0.5,Done,,\3.0.0\3.0 TPR\Sprint 86,\Defects,2 - High,21/07/2015 4:21 PM,27/07/2015 2:09 PM
22736,1893,3.0.0,Product Backlog Item,DEV: Analyze Document Preview Matrix to validate Test Cases,2,Done,Capitalize,\3.0.0\3.0 Alpha\Sprint 76,\Activities\Dev,,04/03/2015 11:00 AM,12/03/2015 3:53 PM
2072,1909,2.6,Bug,(VERIFY) DE4587 - SOLUTION MANAGER: Unable to open read-only components from the treeview,0.5,Done,2.6.5 Release Notes,\3.0.0\3.0 TPR\Sprint 83,\Defects,3 - Medium,23/12/2013 9:07 PM,15/06/2015 1:26 PM
2034,1931,2.6,Bug,(VERIFY) DE6193 - SOLUTION MANAGER: Windowed form does not come up after minimize,0.5,Done,2.6.5 Release Notes,\3.0.0\3.0 TPR\Sprint 83,\Defects,4 - Low,23/12/2013 9:07 PM,16/06/2015 9:38 AM
2067,1936,2.6,Bug,(VERIFY) DE6222 - SOLUTION MANAGER: Opening an external file from Main menu open option and from XML editor tool bar open option creates two tabs of the same name,0.5,Done,2.6.5 Release Notes; Triaged,\3.0.0\3.0 TPR\Sprint 83,\Defects,3 - Medium,23/12/2013 9:07 PM,15/06/2015 1:34 PM
2073,1948,2.6,Bug,(VERIFY) DE6053 - SOLUTION MANAGER: Able to open the same file/tool from new tab as well as from a new window at a time,0.5,Done,2.6.5 Release Notes,\3.0.0\3.0 TPR\Sprint 83,\Defects,3 - Medium,23/12/2013 9:07 PM,15/06/2015 1:38 PM
31136,1960,3.0.0,Product Backlog Item,* !Dev Only! (3.0.0) SOLUTION MANAGER: Undo checkout causes problems with Workflows and Components,3,Done,,\3.0.0\3.0 TPR\Sprint 87,\Activities,,13/08/2015 8:37 AM,14/08/2015 9:40 AM
29375,2064,2.6,Bug,#1-DEFECT: EDG Server 2.6.1.2:  Encoding isn't translating correctly.,13,Done,,\3.0.0\3.0 TPR\Sprint 85,\Defects,2 - High,02/07/2015 4:46 PM,20/07/2015 2:12 PM
