Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,
ID,Work Item Type,Tags,Title,Effort,State,Iteration Path,Area Path,Severity,Created Date
37742,Bug,PM-PriorityLow; Refactor?,VERIFY: (3.0.0) SOLUTION MANAGER: The duplicate of existing workflow has created If the user push 'Refresh' push more then one-two time,0.5,Done,\3.0.0\3.0 Beta\Sprint 97,\Solution Manager,3 - Medium,25/11/2015 9:40 AM
32668,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Context Menu: Visual Designer Components (Cleanup),1,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,,16/09/2015 8:47 AM
32809,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: MDI Documents Infrastructure Interfaces Design,3,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,18/09/2015 5:54 AM
32810,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: MDI Documents Infrastructure - IDocumentManager Implementation,13,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,18/09/2015 5:55 AM
32812,Product Backlog Item,Capitalize,(3.0.0) Solution Manager: Ribbon Integration - IRibbonIntegrator Interface & Ribbon Item Context Design,5,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,,18/09/2015 5:59 AM
33054,Product Backlog Item,Capitalize,SPIKE - (3.0.0) SOLUTION MANAGER: Updates to shared component storage in workflow repository,2,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,22/09/2015 3:58 PM
37740,Bug,Refactor?,VERIFY: (3.0.0) SOLUTION MANAGER: In case of add existing workflow name of workflow hasn`t extension,0.5,Done,\3.0.0\3.0 Beta\Sprint 97,\Solution Manager,3 - Medium,25/11/2015 9:38 AM
33114,Bug,PM-PriorityHigh,"(3.0.0) SOLUTION MANAGER: Checking out an item, repopulates children that were moved",2,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,3 - Medium,23/09/2015 4:39 PM
33128,Bug,Frontend Team; PM-PriorityLow,(3.0.0) SOLUTION MANAGER: Incorrect validation of workspace name in case when the user copy of existing workspace,2,Done,\3.0.0\3.0 TPR\Sprint 94  (3.0.0 TPR As Deliverable),\Solution Manager,3 - Medium,24/09/2015 8:12 AM
33130,Bug,Frontend Team; PM-PriorityLow,(3.0.0) SOLUTION MANAGER: All components except of Section Master are created with default name in upper case,0.5,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,4 - Low,24/09/2015 8:25 AM
33131,Bug,Frontend Team; PM-PriorityMed,(3.0.0) SOLUTION MANAGER: User can add STYLESHEET via Add existing item  in Document Master but cannot create new one,3,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,3 - Medium,24/09/2015 8:49 AM
33132,Bug,PM-PriorityHigh,Verify - (3.0.0) SOLUTION MANAGER: Structure of components in local driver should be same as structure of components in SM,1,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,2 - High,24/09/2015 9:35 AM
